ρ(mg/cm^2),4.5,6.5,14.1,28.1,59.1,102,129,161,206,258,328,419,516,645,849,1230,1890,3632,7435
,Al-F-0.7mm-1s,Al-F-1mm-1s,Poly-5mm-1s,Poly-10mm-1s,Plastic-0.030in-1s,Plastic-0.040in-1s,Al-0.020in-1s,Al-0.025in-1s,Al-0.032in-1s,Al-0.040in-1s,Al-0.050in-1s,Al-0.063in-1s,Al-0.080in-1s,Al-0.100in-1s,Al-0.125in-1s,Lead-0.032in-1s,Lead-0.064in-10s,Lead-0.125in-10s,Lead-0.250in-10s
,1248,1179,1067,811,431,334,214,217,104,63,50,42,27,19,15,15,98,94,77
,1291,1210,1151,855,438,331,180,224,124,86,61,44,23,20,13,10,102,84,82
,1243,1192,1080,796,441,351,207,199,116,67,53,37,21,20,11,10,97,86,78
